ts,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2024-08-13 16:00:00,6.313,6.349,6.305,6.348,128306.5674,812421.4638975,812421.4638975,0
2024-08-13 12:00:00,6.29,6.417,6.275,6.313,2297289.654,14577322.8309783,14577322.8309783,1
2024-08-13 08:00:00,6.321,6.349,6.241,6.289,1007793.3016,6338566.7170662,6338566.7170662,1
2024-08-13 04:00:00,6.228,6.356,6.188,6.32,1372141.374,8615707.3598656,8615707.3598656,1
2024-08-13 00:00:00,6.27,6.292,6.206,6.229,1068502.0302,6684304.0527947,6684304.0527947,1
2024-08-12 20:00:00,6.3,6.334,6.194,6.27,1463134.2103,9166378.4163253,9166378.4163253,1
2024-08-12 16:00:00,6.502,6.516,6.279,6.299,2218697.4762,14204218.5260469,14204218.5260469,1
2024-08-12 12:00:00,6.559,6.629,6.359,6.502,4810761.4548,31292556.3154813,31292556.3154813,1
2024-08-12 08:00:00,6.294,6.586,6.245,6.56,4838220.4995,31008408.5276262,31008408.5276262,1
2024-08-12 04:00:00,6.163,6.314,6.056,6.295,2772397.516,17037955.0439701,17037955.0439701,1
2024-08-12 00:00:00,6.211,6.243,6.132,6.165,1334523.4214,8253093.7576737,8253093.7576737,1
2024-08-11 20:00:00,6.22,6.247,6.153,6.211,1463324.859,9064839.2981656,9064839.2981656,1
2024-08-11 16:00:00,6.298,6.358,6.216,6.22,1525639.0818,9595913.3864185,9595913.3864185,1
2024-08-11 12:00:00,6.475,6.492,6.28,6.298,1483040.7555,9456989.1824208,9456989.1824208,1
2024-08-11 08:00:00,6.596,6.639,6.444,6.476,1413265.8801,9226514.002321,9226514.002321,1
2024-08-11 04:00:00,6.677,6.683,6.574,6.595,697568.8361,4627669.6118968,4627669.6118968,1
2024-08-11 00:00:00,6.673,6.726,6.629,6.677,613919.4811,4101156.8813981,4101156.8813981,1
2024-08-10 20:00:00,6.701,6.724,6.664,6.673,425083.271,2844320.079862,2844320.079862,1
2024-08-10 16:00:00,6.605,6.73,6.604,6.701,933955.7313,6238127.1843331,6238127.1843331,1
2024-08-10 12:00:00,6.679,6.728,6.598,6.605,907709.581,6046435.3263916,6046435.3263916,1
2024-08-10 08:00:00,6.709,6.846,6.676,6.68,2225381.4101,15048129.128426,15048129.128426,1
2024-08-10 04:00:00,6.706,6.737,6.642,6.709,982907.2672,6573455.3377246,6573455.3377246,1
2024-08-10 00:00:00,6.619,6.734,6.602,6.706,1604837.6227,10702514.6541091,10702514.6541091,1
2024-08-09 20:00:00,6.582,6.626,6.515,6.619,1321951.0767,8683069.2851441,8683069.2851441,1
2024-08-09 16:00:00,6.735,6.812,6.55,6.582,3839005.8632,25670423.1321801,25670423.1321801,1
2024-08-09 12:00:00,6.38,6.799,6.375,6.737,4693281.8815,30933341.4334884,30933341.4334884,1
2024-08-09 08:00:00,6.404,6.518,6.378,6.38,3035156.2344,19607188.633992,19607188.633992,1
2024-08-09 04:00:00,6.198,6.539,6.189,6.404,7257925.4376,46218284.3462889,46218284.3462889,1
2024-08-09 00:00:00,6.215,6.218,6.083,6.197,2113269.3686,12991182.7901771,12991182.7901771,1
2024-08-08 20:00:00,6.143,6.273,6.075,6.214,2197605.8504,13537471.2091783,13537471.2091783,1
2024-08-08 16:00:00,6.271,6.312,6.123,6.143,2465238.8035,15298040.7152954,15298040.7152954,1
2024-08-08 12:00:00,6.171,6.364,6.133,6.271,5407609.016,33862902.6177898,33862902.6177898,1
2024-08-08 08:00:00,6.279,6.402,6.057,6.171,9000893.1128,56028810.0603951,56028810.0603951,1
2024-08-08 04:00:00,5.632,6.422,5.614,6.278,13112957.2357,80175199.4850029,80175199.4850029,1
2024-08-08 00:00:00,5.446,5.702,5.388,5.631,2617337.6926,14554020.1363003,14554020.1363003,1
2024-08-07 20:00:00,5.389,5.474,5.375,5.446,1250505.0564,6784931.1512,6784931.1512,1
2024-08-07 16:00:00,5.456,5.476,5.34,5.388,2157147.1494,11659546.3394985,11659546.3394985,1
2024-08-07 12:00:00,5.691,5.726,5.406,5.456,3907638.0729,21701821.2632081,21701821.2632081,1
2024-08-07 08:00:00,5.731,5.797,5.687,5.691,1457196.5337,8370509.9559579,8370509.9559579,1
2024-08-07 04:00:00,5.786,5.816,5.714,5.73,1186965.0565,6846021.7204116,6846021.7204116,1
2024-08-07 00:00:00,5.752,5.825,5.685,5.786,1673496.0175,9625563.9943615,9625563.9943615,1
2024-08-06 20:00:00,5.765,5.836,5.739,5.751,1230576.0417,7119040.6074969,7119040.6074969,1
2024-08-06 16:00:00,5.668,5.81,5.663,5.765,1823984.0481,10504213.9698555,10504213.9698555,1
2024-08-06 12:00:00,5.469,5.675,5.424,5.668,3039007.021,16872484.3452979,16872484.3452979,1
2024-08-06 08:00:00,5.568,5.585,5.414,5.469,2011680.0526,11007183.4830604,11007183.4830604,1
2024-08-06 04:00:00,5.436,5.578,5.419,5.568,1962940.3948,10830397.7264165,10830397.7264165,1
2024-08-06 00:00:00,5.27,5.509,5.264,5.436,2406420.7706,13065883.3798542,13065883.3798542,1
2024-08-05 20:00:00,5.289,5.364,5.267,5.27,1939863.006,10310996.0459802,10310996.0459802,1
2024-08-05 16:00:00,5.373,5.484,5.151,5.288,4868500.5174,25835578.3917363,25835578.3917363,1
2024-08-05 12:00:00,5.09,5.415,4.831,5.373,11447493.7143,58731621.2321326,58731621.2321326,1
2024-08-05 08:00:00,5.243,5.317,5.004,5.089,6094680.6611,31520360.1684724,31520360.1684724,1
2024-08-05 04:00:00,5.362,5.426,4.733,5.244,12613090.5003,64400995.941759,64400995.941759,1
2024-08-05 00:00:00,6.009,6.042,5.095,5.36,14829821.0297,82099714.5256833,82099714.5256833,1
2024-08-04 20:00:00,6.084,6.125,6.005,6.009,1500610.1849,9096686.9944667,9096686.9944667,1
2024-08-04 16:00:00,5.91,6.198,5.758,6.085,5822266.9466,34761432.0162499,34761432.0162499,1
2024-08-04 12:00:00,6.059,6.189,5.901,5.908,3079586.7662,18671645.9469152,18671645.9469152,1
2024-08-04 08:00:00,5.977,6.064,5.942,6.058,1095288.5388,6572270.4311623,6572270.4311623,1
2024-08-04 04:00:00,6.035,6.059,5.968,5.976,609514.9274,3667834.9297087,3667834.9297087,1
2024-08-04 00:00:00,5.973,6.041,5.957,6.036,766983.6972,4603134.8979652,4603134.8979652,1
2024-08-03 20:00:00,5.836,5.975,5.83,5.973,1249751.6346,7384737.7719007,7384737.7719007,1
2024-08-03 16:00:00,6.012,6.029,5.808,5.836,3477250.2828,20512173.3609068,20512173.3609068,1
2024-08-03 12:00:00,6.17,6.185,6.01,6.013,1446709.9202,8835634.4115154,8835634.4115154,1
2024-08-03 08:00:00,6.13,6.175,6.11,6.171,860476.5835,5280180.6045648,5280180.6045648,1
2024-08-03 04:00:00,6.089,6.161,6.078,6.131,962838.053,5901552.2548624,5901552.2548624,1
2024-08-03 00:00:00,6.181,6.204,6.055,6.088,1734014.5566,10593658.5386597,10593658.5386597,1
2024-08-02 20:00:00,6.34,6.372,6.17,6.182,2077224.7518,12970335.8861575,12970335.8861575,1
2024-08-02 16:00:00,6.418,6.448,6.333,6.342,1017997.8956,6507873.8447516,6507873.8447516,1
2024-08-02 12:00:00,6.632,6.669,6.368,6.42,2994889.0795,19456403.9234641,19456403.9234641,1
2024-08-02 08:00:00,6.573,6.65,6.544,6.633,820336.8063,5415204.1775851,5415204.1775851,1
2024-08-02 04:00:00,6.638,6.644,6.515,6.572,1090247.3122,7171480.1292035,7171480.1292035,1
2024-08-02 00:00:00,6.741,6.747,6.606,6.638,1145960.7947,7641772.154777,7641772.154777,1
2024-08-01 20:00:00,6.685,6.763,6.653,6.74,1032164.5351,6926984.3777474,6926984.3777474,1
2024-08-01 16:00:00,6.74,6.765,6.619,6.686,1978095.4239,13259287.6040803,13259287.6040803,1
2024-08-01 12:00:00,6.838,6.886,6.675,6.74,2175611.4912,14734460.3396527,14734460.3396527,1
2024-08-01 08:00:00,6.766,6.863,6.764,6.838,1034160.9752,7041494.4621291,7041494.4621291,1
2024-08-01 04:00:00,6.707,6.79,6.627,6.765,1557677.2847,10446600.7106002,10446600.7106002,1
2024-08-01 00:00:00,6.753,6.816,6.694,6.708,1004088.7102,6784893.2849796,6784893.2849796,1
2024-07-31 20:00:00,6.802,6.819,6.739,6.753,1156030.6829,7831988.851354,7831988.851354,1
2024-07-31 16:00:00,6.845,6.889,6.789,6.802,1226009.9293,8393562.3057249,8393562.3057249,1
2024-07-31 12:00:00,6.795,6.859,6.783,6.845,833549.7276,5689224.2579888,5689224.2579888,1
2024-07-31 08:00:00,6.785,6.845,6.783,6.794,852497.4861,5810199.9954954,5810199.9954954,1
2024-07-31 04:00:00,6.773,6.8,6.708,6.784,1163004.5755,7872811.8761465,7872811.8761465,1
2024-07-31 00:00:00,6.733,6.774,6.712,6.772,453928.4163,3063402.1621582,3063402.1621582,1
2024-07-30 20:00:00,6.706,6.748,6.652,6.733,614295.0131,4123621.7942503,4123621.7942503,1
2024-07-30 16:00:00,6.681,6.719,6.652,6.705,754232.9753,5046914.645299,5046914.645299,1
2024-07-30 12:00:00,6.647,6.706,6.599,6.68,942024.582,6268007.3211939,6268007.3211939,1
2024-07-30 08:00:00,6.647,6.67,6.63,6.646,367207.5404,2441174.3593143,2441174.3593143,1
2024-07-30 04:00:00,6.63,6.656,6.595,6.647,379609.7312,2514349.4229918,2514349.4229918,1
2024-07-30 00:00:00,6.621,6.659,6.587,6.63,695349.5716,4604812.7015993,4604812.7015993,1
2024-07-29 20:00:00,6.668,6.684,6.613,6.62,406963.7448,2705425.8524262,2705425.8524262,1
2024-07-29 16:00:00,6.677,6.698,6.615,6.667,1003169.3401,6675234.0367079,6675234.0367079,1
2024-07-29 12:00:00,6.751,6.786,6.64,6.677,1233151.3519,8277791.1253228,8277791.1253228,1
2024-07-29 08:00:00,6.776,6.808,6.741,6.75,675539.9265,4576224.1092922,4576224.1092922,1
2024-07-29 04:00:00,6.722,6.786,6.711,6.774,749663.7938,5069065.2809117,5069065.2809117,1
2024-07-29 00:00:00,6.62,6.746,6.619,6.721,878241.8034,5870229.3339571,5870229.3339571,1
2024-07-28 20:00:00,6.606,6.631,6.573,6.619,406703.5095,2686775.1242561,2686775.1242561,1
2024-07-28 16:00:00,6.544,6.614,6.527,6.606,587545.6848,3864086.923357,3864086.923357,1
2024-07-28 12:00:00,6.559,6.561,6.515,6.543,371083.7389,2425850.5738796,2425850.5738796,1
